model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
full_ols_av,gbt_av,suit,-2.1616,-2.3713,-1.9518,0.1604,1640
full_ols_av,gbt_av,high,-1.4833,-2.0112,-0.948,0.2862,269
full_ols_av,gbt_av,low,-0.5567,-1.0203,-0.0981,0.3587,591
full_ols_av,gbt_av,bid_type:regular,-1.7092,-1.8892,-1.518,0.2208,2500
gbt_av,stricthellraiser,pooled,3.3864,3.062,3.7012,0.5644,2500
gbt_av,stricthellraiser,suit,3.8161,3.4879,4.1373,0.5586,2279
gbt_av,stricthellraiser,high,3.3636,1.1515,5.2424,0.8485,33
gbt_av,stricthellraiser,low,-1.8191,-3.0319,-0.633,0.5851,188
gbt_av,stricthellraiser,bid_type:regular,3.3864,3.062,3.7012,0.5644,2500
stricthellraiser,gbt_av,pooled,-4.1564,-4.4608,-3.8388,0.2996,2500
stricthellraiser,gbt_av,suit,-4.5837,-4.9054,-4.2642,0.2975,2282
stricthellraiser,gbt_av,high,-3.0833,-5.375,-0.5,0.125,24
stricthellraiser,gbt_av,low,0.7371,-0.4485,1.892,0.3454,194
stricthellraiser,gbt_av,bid_type:regular,-4.1564,-4.4608,-3.8388,0.2996,2500
gbt_av,rankthetank,pooled,9.8156,9.5404,10.0792,0.878,2500
gbt_av,rankthetank,suit,10.2442,9.9951,10.4906,0.8931,2432
gbt_av,rankthetank,high,-0.75,-6.125,4.5625,0.5625,16
gbt_av,rankthetank,low,-6.9808,-9.7692,-4.0764,0.2692,52
gbt_av,rankthetank,bid_type:regular,9.8431,9.57,10.1101,0.8787,2498
gbt_av,rankthetank,bid_type:moon,-24.5,-25.0,-24.0,0.0,2
rankthetank,gbt_av,pooled,-9.9196,-10.1856,-9.6464,0.1208,2500
rankthetank,gbt_av,suit,-10.3184,-10.5608,-10.0666,0.1068,2434
rankthetank,gbt_av,high,-2.0625,-6.4375,2.625,0.3125,16
rankthetank,gbt_av,low,6.98,4.1,9.7,0.74,50
rankthetank,gbt_av,bid_type:regular,-9.9332,-10.1949,-9.6687,0.1204,2499
rankthetank,gbt_av,bid_type:moon,24.0,24.0,24.0,1.0,1
gbt_av,anchor_hybrid_r0_full,pooled,1.0528,0.8352,1.274,0.5584,2500
gbt_av,anchor_hybrid_r0_full,suit,0.9388,0.6945,1.1778,0.5423,1879
gbt_av,anchor_hybrid_r0_full,high,1.9731,1.2769,2.6808,0.6346,260
gbt_av,anchor_hybrid_r0_full,low,0.9834,0.2825,1.6759,0.5873,361
gbt_av,anchor_hybrid_r0_full,bid_type:regular,1.0528,0.8352,1.274,0.5584,2500
anchor_hybrid_r0_full,gbt_av,pooled,-1.3436,-1.5576,-1.1268,0.3288,2500
anchor_hybrid_r0_full,gbt_av,suit,-1.1645,-1.413,-0.9191,0.3405,1903
anchor_hybrid_r0_full,gbt_av,high,-2.0669,-2.7598,-1.3504,0.2953,254
anchor_hybrid_r0_full,gbt_av,low,-1.807,-2.4737,-1.1404,0.2895,342
anchor_hybrid_r0_full,gbt_av,bid_type:regular,-1.3441,-1.559,-1.1216,0.3289,2499
constrained_ols_av,constrained_ols_av,pooled,-0.0544,-0.216,0.1072,0.402,2500
constrained_ols_av,constrained_ols_av,suit,-0.0398,-0.2158,0.1389,0.4084,1937
constrained_ols_av,constrained_ols_av,high,-0.2609,-1.0507,0.5217,0.3768,138
constrained_ols_av,constrained_ols_av,low,-0.0541,-0.4776,0.3554,0.3812,425
constrained_ols_av,constrained_ols_av,bid_type:regular,-0.0544,-0.216,0.1072,0.402,2500
constrained_ols_av,selected_ols_av,pooled,-0.0216,-0.182,0.136,0.4132,2500
constrained_ols_av,selected_ols_av,suit,0.0487,-0.1356,0.2335,0.4251,1910
constrained_ols_av,selected_ols_av,high,-0.7222,-1.3779,-0.0499,0.3278,180
constrained_ols_av,selected_ols_av,low,-0.0415,-0.4585,0.3732,0.3951,410
constrained_ols_av,selected_ols_av,bid_type:regular,-0.0216,-0.182,0.136,0.4132,2500
selected_ols_av,constrained_ols_av,pooled,-0.146,-0.3076,0.0188,0.3924,2500
selected_ols_av,constrained_ols_av,suit,-0.1233,-0.3003,0.0606,0.3983,1898
selected_ols_av,constrained_ols_av,high,-0.2798,-1.0,0.4145,0.3938,193
selected_ols_av,constrained_ols_av,low,-0.1883,-0.6112,0.2347,0.3643,409
selected_ols_av,constrained_ols_av,bid_type:regular,-0.146,-0.3076,0.0188,0.3924,2500
constrained_ols_av,full_ols_av,pooled,0.5548,0.3892,0.7172,0.4728,2500
constrained_ols_av,full_ols_av,suit,1.6667,1.4616,1.8709,0.6185,1224
constrained_ols_av,full_ols_av,high,-0.8464,-1.3197,-0.3605,0.3292,319
constrained_ols_av,full_ols_av,low,-0.4002,-0.675,-0.1202,0.3344,957
constrained_ols_av,full_ols_av,bid_type:regular,0.5548,0.3892,0.7172,0.4728,2500
full_ols_av,constrained_ols_av,pooled,-0.5456,-0.7052,-0.3836,0.3364,2500
full_ols_av,constrained_ols_av,suit,-1.6895,-1.8865,-1.4908,0.1912,1198
full_ols_av,constrained_ols_av,high,0.7718,0.2718,1.2685,0.5067,298
full_ols_av,constrained_ols_av,low,0.4283,0.1604,0.6863,0.4592,1004
full_ols_av,constrained_ols_av,bid_type:regular,-0.5456,-0.7052,-0.3836,0.3364,2500
constrained_ols_av,stricthellraiser,pooled,1.2892,1.056,1.5224,0.3608,2500
constrained_ols_av,stricthellraiser,suit,1.2632,1.0338,1.5074,0.3569,2485
constrained_ols_av,stricthellraiser,high,6.0,3.0,9.0,1.0,4
constrained_ols_av,stricthellraiser,low,5.4545,3.8182,7.0909,1.0,11
constrained_ols_av,stricthellraiser,bid_type:regular,1.2892,1.056,1.5224,0.3608,2500
stricthellraiser,constrained_ols_av,pooled,-1.6952,-1.9316,-1.4572,0.4004,2500
stricthellraiser,constrained_ols_av,suit,-1.6854,-1.924,-1.4449,0.4023,2486
stricthellraiser,constrained_ols_av,high,4.0,-4.0,12.0,0.5,2
stricthellraiser,constrained_ols_av,low,-4.6667,-6.3333,-3.0,0.0,12
stricthellraiser,constrained_ols_av,bid_type:regular,-1.6952,-1.9316,-1.4572,0.4004,2500
constrained_ols_av,rankthetank,pooled,10.4836,10.2476,10.712,0.8996,2500
constrained_ols_av,rankthetank,suit,10.4836,10.2476,10.712,0.8996,2500
constrained_ols_av,rankthetank,bid_type:regular,10.4836,10.2476,10.712,0.8996,2500
rankthetank,constrained_ols_av,pooled,-10.52,-10.7516,-10.2816,0.1024,2500
rankthetank,constrained_ols_av,suit,-10.52,-10.7516,-10.2816,0.1024,2500
rankthetank,constrained_ols_av,bid_type:regular,-10.52,-10.7516,-10.2816,0.1024,2500
constrained_ols_av,anchor_hybrid_r0_full,pooled,-0.0548,-0.2536,0.152,0.3684,2500
constrained_ols_av,anchor_hybrid_r0_full,suit,-0.0869,-0.3136,0.1356,0.3644,1910
constrained_ols_av,anchor_hybrid_r0_full,high,0.2431,-0.5734,1.078,0.4037,218
constrained_ols_av,anchor_hybrid_r0_full,low,-0.0645,-0.6264,0.5108,0.3683,372
constrained_ols_av,anchor_hybrid_r0_full,bid_type:regular,-0.0548,-0.2536,0.152,0.3684,2500
anchor_hybrid_r0_full,constrained_ols_av,pooled,-0.2372,-0.4368,-0.0328,0.4736,2500
anchor_hybrid_r0_full,constrained_ols_av,suit,-0.1484,-0.3735,0.0787,0.4823,1893
anchor_hybrid_r0_full,constrained_ols_av,high,-0.4533,-1.1957,0.28,0.4489,225
anchor_hybrid_r0_full,constrained_ols_av,low,-0.5497,-1.1073,-0.0026,0.445,382
anchor_hybrid_r0_full,constrained_ols_av,bid_type:regular,-0.2372,-0.4368,-0.0328,0.4736,2500
